RA	Nome	Unidade	Semestre	Turma
20583564	AARON LITTLETON 	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20788083	ABEL (URSINHO PUFF)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20404332	ABRAHAM SIMPSON	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20755671	ALASTOR MOODY    	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20582645	ALEC BALDWIN	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20885720	ALFINHO	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20694781	ALLISON TAYLOR (THE SIMPSONS)	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20351520	ALVAR HANSO 	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20690198	ALVO PERCIVAL WULFRIC BRIAN DUMBLEDORE 	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20477418	AMOS DIGGORY	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20645029	ANA ABBOTT	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20351836	ANDY PANDA	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20283054	ANGELINA JOLIE	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20589132	ANTHONY COOPER 	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20657496	ANTHONY GOLDSTEIN    	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20306338	ANTONIN DOLOHOV	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20555078	APOLLINE DELACOUR	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20871714	APPLE WHITE	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20485676	APU NAHASAPEEMAPETILON	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20352167	ARABELLA DORA FIGG   	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20593506	ARETHA FRANKLIN	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20675463	ARGO FILCH    	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20872960	ARIEL	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20325777	ARMANDO DIPPET    	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20622954	ARTHUR WEASLEY    	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20740821	ARYA STARK	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20761390	ASHLYNN ELLA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20760846	ASTORIA GREENGRASS    	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20752971	AUGUSTUS ROOKWOOD    	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20744029	AVERY LESTRANGE 	CIÊNCIA DA COMPUTAÇÃO	3	CCOMVON04A
20826888	BABAR	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20575540	BAMBI	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20866183	BARAO SANGRENTO    	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20379782	BARATA RODOX	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20726379	BARNEY RUBBLE	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20551765	BARRA INANIMADA DE CARVAO	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20912838	BARTOLOMEU CROUCH    	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20730276	BARTOLOMEU CROUCH JR.   	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20648159	BATMAN	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20720524	BELA 	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20741366	BELLATRIX LESTRANGE    	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20905364	BERIC DONDARRION	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20903436	BERNICE HIBBERT	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20402952	BERTHA JORKINS    	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20412899	BETTY BOOP	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20728188	BICO DE ACO	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20371677	BLASIO ZABINI    	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20436987	BLONDIE LOCKES	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20551442	BOB DYLAN	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20553630	BOBBY 'BLUE' BLAND	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20906283	BOLA DE NEVE (OS SIMPSONS)	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20916368	BOLOTA (URSINHO PUFF)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20766352	BON JOVI	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20752309	BONNIE RAITT	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20856037	BONO 	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20761070	BOWEN MARSH	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20752331	BRAN STARK	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20675223	BRIAN GRIFFIN	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20699796	BRIAN WILSON	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20647136	BRIAR BEAUTY	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20714785	BROTHER BEAR	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20872814	BRUTUS (POPEYE)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20333467	BUGS BUNNY	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
5192008	BUMBLEBEE MAN	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20868392	BUNNY BLANC	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20569500	CALVIN HARRIS	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20679850	CAPITAO FEIO	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20753127	CAPITAO HORATIO MCCALLISTER	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20415592	CAPITAO PICOLE	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20897970	CARIDADE BURBAGE    	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20874170	CARL CARLSON	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20891341	CARRIE UNDERWOOD	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20718683	CASSIDY PHILLIPS 	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20524202	CATELYN STARK	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20913003	CEBOLINHA (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20749930	CERISE HOOD	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20717068	CERSEI LANNISTER	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20072426	CHARLIE SHEEN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20667684	CHARLIZE THERON	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20560403	CHARLOTTE'S WEB (1973)	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20617664	CHARLUS E DOREA POTTER  	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20615248	CHEBURASHKA	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20754672	CHIQUINHO GAVIAO	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20850474	CHRISTINA AGUILERA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20600208	CHRISTOPHER NOLAN	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20612310	CINDERELA	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20149400	CLETUS SPUCKLER	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
